museum,museum_code,catalogID,sex,lifestage,mass,date,continent,country,country_code,state,county,locality,elevation,scientific_name,kingdom,phylum,class,order,family,genus,specific_epithet,dataset_contact_email,dataset_contact
University of Texas at El Paso Biodiversity Collections. UTEP Fossils (Arctos),UTEP,18947,undetermined,unknown,,7/2/1946,North America,United States,,New Mexico,Sandoval County,Cochiti Pueblo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,tmayfield@utep.edu,Teresa Mayfield
University of Texas at El Paso Biodiversity Collections. UTEP Fossils (Arctos),UTEP,18948,undetermined,unknown,,6/30/1966,North America,United States,,New Mexico,Sandoval County,Cochiti Pueblo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,tmayfield@utep.edu,Teresa Mayfield
University of Texas at El Paso Biodiversity Collections. UTEP Fossils (Arctos),UTEP,4740,undetermined,unknown,,1/1/1970,North America,United States,,New Mexico,Sandoval County,LA 4955  Casa Quemada,1554.48,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,tmayfield@utep.edu,Teresa Mayfield
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,62060,female,unknown,,4/8/1994,North America,United States,,Oregon,Grant,OREGON: Grant County; Fox; 4300 ft,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rfaucett@uw.edu,Rob Faucett
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,70549,female,unknown,,3/5/1998,North America,United States,,Florida,Osceola,FLORIDA: Osceola County,,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,rfaucett@uw.edu,Rob Faucett
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,79014,undetermined,unknown,,6/10/1990,North America,United States,,Oregon,Harney,OREGON: Harney County; Malheur National Wildlife Refuge; South White Field,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rfaucett@uw.edu,Rob Faucett
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,85111,female,unknown,,10/19/2006,North America,United States,,North Dakota,Ward,NORTH DAKOTA: Ward County; Ryder,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rfaucett@uw.edu,Rob Faucett
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,85112,male,unknown,,10/9/2006,North America,United States,,North Dakota,Ward,NORTH DAKOTA: Ward County; Ryder,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rfaucett@uw.edu,Rob Faucett
University of Michigan Museum of Zoology. UMMZ Birds Collection,UMMZ,235413,undetermined,chick,122.6,Jun-94,North America,United States,,Idaho,Bonneville,Gray's Lake National Wildlife Refuge,,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,jhinshaw@umich.edu,Janet Hinshaw
University of Washington Burke Museum. UWBM Ornithology Collection,UWBM,76762,male,unknown,,2001,North America,United States,,Alaska,Kenai Peninsula,ALASKA: Kenai Peninsula Borough; [locality inferred from source: Kenai National Wildlife Refuge],,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rfaucett@uw.edu,Rob Faucett
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26021,female,immature,4800,10/26/1988,North America,United States,,New Mexico,Socorro County,San Antonio area,1384.7064,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26037,male,immature,2506,10/20/1988,North America,United States,,New Mexico,Socorro County,Bernardo area,1442.9232,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26047,undetermined,adult,4162,10/20/1988,North America,United States,,New Mexico,Socorro County,Bernardo area,1442.9232,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26050,female,adult,3125,1/18/1988,North America,United States,,New Mexico,Luna County,Uvas valley,1359.7128,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26061,undetermined,adult,5109,1/17/1988,North America,United States,,New Mexico,Dona Ana County,Garfield area,1253.9472,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26072,female,adult,5100,10/27/1988,North America,United States,,New Mexico,Socorro County,"0.5 mi N Bosque Del Apache NWR, Bosque hunt",1378.6104,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26078,female,immature,2250,10/27/1988,North America,United States,,New Mexico,Socorro County,approx 2 mi S San Antonio,1384.7064,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26079,male,immature,3200,10/27/1988,North America,United States,,New Mexico,Socorro County,Lemitar,1411.224,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26099,male,immature,2870,10/20/1988,North America,United States,,New Mexico,Socorro County,Bernardo area,1442.9232,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26108,male,immature,4100,10/26/1988,North America,United States,,New Mexico,Socorro County,Veguita,1449.9336,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26113,undetermined,immature,2190,10/20/1988,North America,United States,,New Mexico,Socorro County,Veguita,1449.9336,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26135,male,unknown,,2/10/1988,North America,United States,,New Mexico,Chaves County,Bitter Lake NWR,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,25198,female,unknown,,11/27/1988,North America,United States,,New Mexico,Valencia County,"Los Lunas, West of Penitentiary",,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26009,male,immature,2894,10/20/1988,North America,United States,,New Mexico,Socorro County,Lemitar,1411.224,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26010,undetermined,immature,4500,10/27/1988,North America,United States,,New Mexico,Socorro County,"0.5 mi N Bosque Del Apache NWR, Bosque hunt",1378.6104,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26036,male,adult,5547,1/17/1988,North America,United States,,New Mexico,Dona Ana County,Garfield area,1253.9472,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26084,male,immature,2750,10/27/1988,North America,United States,,New Mexico,Socorro County,2 mi N Escondido Lake,1403.9088,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26085,male,immature,5000,10/27/1988,North America,United States,,New Mexico,Socorro County,approx 2 mi S San Antonio,1384.7064,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,26114,undetermined,immature,3412,1/18/1988,North America,United States,,New Mexico,Luna County,15 mi S Deming,1296.924,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Texas A&M University Biodiversity Research and Teaching Collections. Biodiversity Research and Teaching Collections - TCWC Vertebrates,TCWC,24000,male,unknown,,1/10/2016,North America,United States,,Texas,Jefferson,Blair Road,14,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,hlprestridge@tamu.edu,Heather Prestridge
"Yale Peabody Museum. Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",YPM,140165,male,juvenile,92.8,6/24/2005,Asia,Russia,,Zabaykalsky Krai,Aginsky District,Onon River valley,624,Grus virgo,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,virgo,lawrence.gall@yale.edu,Larry Gall
Denver Museum of Nature & Science. DMNS Bird Collection (Arctos),DMNS,44422,undetermined,adult,1920,1/14/2015,North America,United States,,Colorado,Denver County,"Denver, Denver Zoo",,Grus monacha,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,monacha,john.demboski@dmns.org,John Demboski
Museu de Ciències Naturals de Barcelona. Museu de Ciències Naturals de Barcelona,MCNB,20020249,undetermined,unknown,,3/26/2002,Europe,Spain,,Aragón,Zaragoza,,,Grus grus,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,jquesadal@mail.bcn.es,Javier Quesada Lara
Museu de Ciències Naturals de Barcelona. Museu de Ciències Naturals de Barcelona,MCNB,20030536,female,unknown,,3/17/2003,Europe,Spain,,Catalunya,Lleida,,,Grus grus,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,jquesadal@mail.bcn.es,Javier Quesada Lara
Museu de Ciències Naturals de Barcelona. Museu de Ciències Naturals de Barcelona,MCNB,20040021,undetermined,unknown,,11/20/2003,Europe,Spain,,Catalunya,Lleida,,,Grus grus,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,jquesadal@mail.bcn.es,Javier Quesada Lara
Denver Museum of Nature & Science. DMNS Bird Collection (Arctos),DMNS,50076,male,adult,,11/7/2017,North America,United States,,Colorado,Denver County,"Denver, Denver Zoo",,Grus antigone,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,antigone,john.demboski@dmns.org,John Demboski
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29628,male,adult,5537,11/21/2009,North America,United States,,New Mexico,Socorro County,Bernardo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29630,male,adult,5814,11/21/2009,North America,United States,,New Mexico,Socorro County,Bernardo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29631,male,adult,5273,11/21/2009,North America,United States,,New Mexico,Socorro County,Bernardo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29632,female,adult,5140,11/21/2009,North America,United States,,New Mexico,Socorro County,Bernardo,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29640,male,immature,3305,1/9/2010,North America,United States,,New Mexico,Valencia County,River S. of Los Lunas,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29641,female,adult,5222,11/21/2009,North America,United States,,New Mexico,Valencia County,Los Lunas,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29651,male,adult,,11/21/2009,North America,United States,,New Mexico,,Los Lunas - Rio,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29655,undetermined,adult,,11/21/2009,North America,United States,,New Mexico,,Nutrias,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29657,female,adult,2990,1/9/2010,North America,United States,,New Mexico,Valencia County,Melchenbifyer (?) West side of Los Lunas River,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29658,female,adult,4076,1/9/2010,North America,United States,,New Mexico,Socorro County,North of Bosque del Apache,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29660,female,adult,5210,11/21/2009,North America,United States,,New Mexico,,No specific locality given,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29664,female,adult,5299,11/21/2009,North America,United States,,New Mexico,,Nutrias,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Bird Collection (Arctos),MSB,29665,female,adult,4641,11/21/2009,North America,United States,,New Mexico,,Nutrias,,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cwitt@unm.edu,Christopher Witt
Museum of Southwestern Biology. MSB Mammal Collection (Arctos),MSB,281211,male,unknown,,1/19/1991,North America,United States,,New Mexico,Sierra County,"Percha Dam Area, Price Black Dairy Area",,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,cookjose@unm.edu,Joseph Cook
Lund Museum. Lund Museum of Zoology (MZLU),MZLU,8993059,undetermined,juvenile,,05/29/1899,Europe,Sweden,,Småland,,,,Grus grus ,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,anders.telenius@nrm.se,Anders Telenius
Lund Museum. Lund Museum of Zoology (MZLU),MZLU,9823425,female,juvenile,,12/12/1982,Europe,Sweden,,Uppland,,,,Grus grus ,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,anders.telenius@nrm.se,Anders Telenius
Lund Museum. Lund Museum of Zoology (MZLU),MZLU,9833388,undetermined,adult,,10/28/1983,Europe,Sweden,,Västerbotten,,,,Grus grus ,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,anders.telenius@nrm.se,Anders Telenius
Lund Museum. Lund Museum of Zoology (MZLU),MZLU,9833406,female,unknown,,4/19/1983,Europe,Sweden,,Västmanland,,,,Grus grus ,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,anders.telenius@nrm.se,Anders Telenius
University of Alaska Museum. UAM Bird Collection (Arctos),UAM,14886,male,adult,,1/1/2000,North America,United States,,Florida,,captive-hatched,,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,kevin.winker@alaska.edu,Kevin Winker
Florida Museum of Natural History. UF FLMNH Ornithology,UF,40258,male,subadult,,8/11/1996,North America,United States,,Florida,Osceola,CHAPMAN'S RANCH,,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,twebber@flmnh.ufl.edu,Tom Webber
Florida Museum of Natural History. UF FLMNH Ornithology,UF,43054,female,10 MONTHS OLD,,3/26/2002,North America,United States,,Florida,Polk,"WINTER HAVEN, 2.5 MI. NE, BETWEEN LAKES ROCHELLE AND FANNIE",,Grus americana,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,twebber@flmnh.ufl.edu,Tom Webber
Carnegie Museum of Natural History. CM Birds Collection,CM,4817,undetermined,unknown,,1984,North America,United States,,Michigan,Jackson,WATERLOO (W OF; WATERLOO RECREATION AREA ),,Grus canadensis,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,rogerss@carnegiemnh.org,Stephen Rogers
Royal Ontario Museum. Palaeobiology - Vertebrate Fossils Collection - Non Mammalia - Royal Ontario Museum,ROM,8526,undetermined,unknown,,Apr-63,Africa,Egypt,,Upper Egypt,,"Kom Ombo, Sebil IV",,Grus grus,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,kevins@rom.on.ca,Kevin Seymour
